source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
,-71.2292875,46.8283689,Coop.Hab. Arbres ,Co-operative Housing,,,,"1199 4e Avenue, Québec, QC G1J 3B4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_arbres.html,
,-71.2202607,46.8092867,Coop.Hab. Archange ,Co-operative Housing,,,,"543 Rue Saint-Gabriel, Québec, QC G1R 1Y8, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_archange.html,
,-71.2245750,46.8164648,Coop.Hab. Art de vivre ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_art_de_vivre.html,
,-71.2292875,46.8283689,Coop.Hab. au Coin du Clocher ,Co-operative Housing,,,,"1199 4e Avenue, Québec, QC G1J 3B4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_au_coin_du_clocher.html,
,-71.2191541,46.8121201,Coop.Hab. Aubergine ,Co-operative Housing,,,,"722 Rue Saint-Olivier, Québec, QC G1R 1H5, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_aubergine.html,
,-71.3009673,46.8106654,Coop.Hab. Avant-Gardiste ,Co-operative Housing,,,,"2480 Rue du Rhin, Québec, QC G1P 2Z6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_avant_gardiste.html,
,-71.2385737,46.8299746,Coop.Hab. Beau Lieu Limoilou ,Co-operative Housing,,,,"4 Avenue Eugène-Lamontagne, Québec, QC G1L 2B1, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_beau_lieu_limoilou.html,
,-71.2292875,46.8283689,Coop.Hab. Beau Quartier ,Co-operative Housing,,,,"1199 4e Avenue, Québec, QC G1J 3B4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_beau_quartier.html,
,-71.1939179,46.8707698,Coop.Hab. Beau Rivage ,Co-operative Housing,,,,"286 Rue Charles É Grenier, Québec, QC G1E 4X8, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_beau_rivage.html,
,-71.2532858,46.8503317,Coop.Hab. Bonne aventure ,Co-operative Housing,,,,"255 55e Rue E, Québec, QC G1H 2G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bonne_aventure.html,
